t_days,B,F,A
2.700000000000000000e+01,5.724587662321551917e-01,2.854417292135995599e-01,1.394156313234208230e-03
2.800000000000000000e+01,5.766414596486353350e-01,2.434839570539484854e-01,1.228962601839829602e-03
2.900000000000000000e+01,5.822929464548792788e-01,2.457764465612316540e-01,2.590740827721407270e-03
3.000000000000000000e+01,5.532758519287290788e-01,1.741982627762231894e-01,3.244116925456407268e-03
3.100000000000000000e+01,5.206652245477706442e-01,1.277271694767289079e-01,4.799002631868305203e-03
3.200000000000000000e+01,4.854454416901300418e-01,9.983967944272689743e-02,4.857385544466177527e-03
3.300000000000000000e+01,4.668118091850707585e-01,8.383495679161744041e-02,4.844217760715973341e-03
3.400000000000000000e+01,4.457042289883013098e-01,6.339606643491954574e-02,5.951040203040851816e-03
3.500000000000000000e+01,4.295247284497059059e-01,5.688070074314397623e-02,6.885169648293572482e-03
3.600000000000000000e+01,4.051416325515236339e-01,5.293628818271439718e-02,7.450254124258694384e-03
3.700000000000000000e+01,3.778943218735376641e-01,4.378050875437298345e-02,9.102423789921832917e-03
3.800000000000000000e+01,3.564820988322210948e-01,4.157392469696259002e-02,7.367496131727963027e-03
3.900000000000000000e+01,3.326575743181778289e-01,4.258968117397445019e-02,8.294643464388982979e-03
4.000000000000000000e+01,3.232076580247809083e-01,3.701254710206132448e-02,7.765105510939974802e-03
4.100000000000000000e+01,3.177842119151919609e-01,3.334511410588106295e-02,9.063874936468738902e-03
4.200000000000000000e+01,3.099146687746524020e-01,3.112455309161300115e-02,9.654152153945267170e-03
4.300000000000000000e+01,2.982377706547119645e-01,3.504349008736593052e-02,6.046514949657807482e-03
4.400000000000000000e+01,2.848387067750916546e-01,3.544253087870032071e-02,5.480887870437357000e-03
4.500000000000000000e+01,2.744325782816429693e-01,3.557883250429812183e-02,9.245027118602843971e-03
4.600000000000000000e+01,2.630090620904160792e-01,3.380371480792709188e-02,9.634695347246285957e-03
4.700000000000000000e+01,2.626087863665972910e-01,3.484781881866308439e-02,6.968417908404743108e-03
4.800000000000000000e+01,2.576848441560249392e-01,3.646920493379694067e-02,5.084385934218024414e-03
4.900000000000000000e+01,2.435195924363810216e-01,3.385717263362311713e-02,5.069691148262068722e-03
5.000000000000000000e+01,2.329077443520882196e-01,3.452735110691779186e-02,2.686549901141922249e-03
5.100000000000000000e+01,2.242012693764085240e-01,3.539598349481416772e-02,3.530778737633965669e-03
5.200000000000000000e+01,2.163216453681318097e-01,3.482940308544173885e-02,2.634144196829143851e-03
5.300000000000000000e+01,2.198301350692147271e-01,4.008998384525246789e-02,3.820906413338303036e-03
5.400000000000000000e+01,2.185779205578596285e-01,4.120812433197075519e-02,2.888951663683225410e-03
5.500000000000000000e+01,2.180047808274658827e-01,4.476744389079024417e-02,2.234482291521751492e-03
5.600000000000000000e+01,2.189796611555785144e-01,4.185730951233385816e-02,3.215715186922819303e-04
5.700000000000000000e+01,2.091804292579854119e-01,4.496132270028205952e-02,1.397974265053287114e-04
5.800000000000000000e+01,1.952197160217647720e-01,4.295539894978127327e-02,5.368277757798888168e-04
5.900000000000000000e+01,1.910292241231681121e-01,4.790726943145504069e-02,6.021896215379425772e-04
6.000000000000000000e+01,2.291551908617877886e-01,2.409531074232115211e-01,1.007334979472576588e-04
6.100000000000000000e+01,2.748205855495994832e-01,3.924881840169237579e-01,0.000000000000000000e+00
6.200000000000000000e+01,3.192533848573546607e-01,5.475431779269632759e-01,3.280423425750686960e-04
6.300000000000000000e+01,3.444133598593001055e-01,6.554099158476236475e-01,1.700966288525356158e-04
6.400000000000000000e+01,3.804956782633660550e-01,7.249182883817613110e-01,0.000000000000000000e+00
6.500000000000000000e+01,4.061568844965962044e-01,7.381257056588023113e-01,7.312918039549309640e-05
6.600000000000000000e+01,4.387403051471172599e-01,7.374689718201963284e-01,4.972521541448520226e-05
6.700000000000000000e+01,4.680066524775811088e-01,7.675525571767928268e-01,0.000000000000000000e+00
6.800000000000000000e+01,5.050817603352458773e-01,7.267081679090897639e-01,0.000000000000000000e+00
6.900000000000000000e+01,5.297334829294360059e-01,7.212685353623333739e-01,2.747952717880787379e-04
7.000000000000000000e+01,5.464867168956878407e-01,6.639213182083901765e-01,1.352593609072903140e-04
7.100000000000000000e+01,5.572539127403205450e-01,6.487591316440225464e-01,5.427210438471582413e-04
7.200000000000000000e+01,5.905071860504153003e-01,6.245020319296167299e-01,0.000000000000000000e+00
7.300000000000000000e+01,6.140764321115677049e-01,6.519506036907107838e-01,2.078879917145741191e-04
7.400000000000000000e+01,6.421580166588268801e-01,6.348102649093567695e-01,1.422978732982606612e-05
7.500000000000000000e+01,6.412447259818998546e-01,4.822055400215191634e-01,1.883637509638819933e-04
7.600000000000000000e+01,6.424091810003982328e-01,3.828560565285568651e-01,0.000000000000000000e+00
7.700000000000000000e+01,6.451692590189997967e-01,3.106260281360497810e-01,7.683630805661855205e-05
7.800000000000000000e+01,6.434236741580350305e-01,3.107756853735123559e-01,0.000000000000000000e+00
7.900000000000000000e+01,6.458983015673523953e-01,2.874015328555518112e-01,0.000000000000000000e+00
8.000000000000000000e+01,6.444855930712373171e-01,2.351832453931330114e-01,0.000000000000000000e+00
8.100000000000000000e+01,6.410146707673494149e-01,1.912608569872642772e-01,0.000000000000000000e+00
8.200000000000000000e+01,6.377682086149023544e-01,2.085462318288441863e-01,2.741339535703393076e-04
8.300000000000000000e+01,6.309671047543422562e-01,2.090640025503493482e-01,9.198156979677227772e-05
8.400000000000000000e+01,6.392554736107909363e-01,2.215087502195390301e-01,3.908792088902037415e-05
8.500000000000000000e+01,6.342306811282246715e-01,2.491696568444686788e-01,0.000000000000000000e+00
8.600000000000000000e+01,6.301294602221565455e-01,2.400424456569408282e-01,1.741227878958737313e-04
8.700000000000000000e+01,6.312506228102384709e-01,2.165814053183951204e-01,1.009899135970757902e-04
8.800000000000000000e+01,6.315864679177228824e-01,1.991888833005064641e-01,1.226746794378261759e-04
8.900000000000000000e+01,6.391233094858582708e-01,2.220958842227075403e-01,5.197249639910345935e-05
9.000000000000000000e+01,6.328874063999542221e-01,1.994066807646855954e-01,9.348546526871334434e-05
9.100000000000000000e+01,6.231879070290133882e-01,2.214984041409826521e-01,2.239297454037297584e-05
9.200000000000000000e+01,6.239828449849730285e-01,2.054190791415009820e-01,1.126197832199708402e-04
9.300000000000000000e+01,6.247554256457076294e-01,2.065453860178470269e-01,0.000000000000000000e+00
9.400000000000000000e+01,6.345638548977976523e-01,2.206945941558218216e-01,4.602629598824538142e-04
9.500000000000000000e+01,6.392918311781887741e-01,2.528746181079164490e-01,5.879684598004620471e-04
9.600000000000000000e+01,6.421128252889194421e-01,2.217107328309839975e-01,1.492574722232346341e-04
9.700000000000000000e+01,6.378194954970931585e-01,2.049126385579514154e-01,1.229543273153436002e-04
9.800000000000000000e+01,6.342120336469051489e-01,1.926264430004590300e-01,3.189489045351500112e-04
9.900000000000000000e+01,6.421178080084325446e-01,1.986126625522739719e-01,0.000000000000000000e+00
1.000000000000000000e+02,6.517772705792327370e-01,2.213914972085433419e-01,4.091965869453465096e-04
1.010000000000000000e+02,6.538285732764743674e-01,2.352438651564660865e-01,3.670363346938334669e-04
1.020000000000000000e+02,6.436394624632847394e-01,2.109837793669175898e-01,1.032926319710075888e-03
1.030000000000000000e+02,6.339953447899029371e-01,2.178191863544832740e-01,5.235807257818669500e-04
1.040000000000000000e+02,6.409581523071758991e-01,2.051553174971806059e-01,1.137307373400135409e-03
1.050000000000000000e+02,5.995536065786064572e-01,1.409063345865963213e-01,2.146240113837271962e-04
1.060000000000000000e+02,5.604079186387647127e-01,1.049336932409632717e-01,4.682642866956076037e-04
1.070000000000000000e+02,5.382302063014051674e-01,8.147879863800873423e-02,6.146900441749609016e-05
1.080000000000000000e+02,5.028280720417890315e-01,6.342093831205450338e-02,3.646259470362575198e-05
1.090000000000000000e+02,4.798007559565581892e-01,5.775099511545490893e-02,1.005667444769836404e-04
1.100000000000000000e+02,4.574977926215013091e-01,5.302247569906982927e-02,8.516072093205188107e-04
1.110000000000000000e+02,4.379437168519930146e-01,4.385826474733807434e-02,1.556280239849354517e-03
1.120000000000000000e+02,4.148774157829514531e-01,3.710138341747912238e-02,1.628569677127188588e-03
