t_days,B,F,A
2.343750000000000000e+00,1.542998369617896437e-01,1.125437421935915200e-01,4.575758495076467751e-03
2.354166666666666519e+00,1.552049647188457060e-01,1.120743367567738763e-01,4.598657869971030897e-03
2.364583333333333037e+00,1.552399027033396217e-01,1.119464481539361317e-01,4.535006742453617963e-03
2.375000000000000000e+00,1.558593635514866349e-01,1.116515916078344162e-01,4.787045203180522943e-03
2.385416666666666519e+00,1.564924423546611709e-01,1.165640831358043944e-01,4.928075605295417598e-03
2.395833333333333037e+00,1.568085789000759900e-01,1.216302881607751740e-01,4.936666889590525520e-03
2.406250000000000000e+00,1.576905644078794577e-01,1.266228095315671265e-01,5.054336226394549360e-03
2.416666666666666519e+00,1.584050417093338381e-01,1.316617529792666608e-01,5.010093443292304959e-03
2.427083333333333037e+00,1.590464865582825182e-01,1.366641435399860438e-01,4.915632169189752994e-03
2.437500000000000000e+00,1.596506125358940764e-01,1.414845194317138621e-01,4.782637224938283450e-03
2.447916666666666519e+00,1.604533903891441626e-01,1.414035424074035485e-01,4.769003376996578010e-03
2.458333333333333037e+00,1.615169769591524862e-01,1.412163605006081513e-01,4.857222795038682039e-03
2.468750000000000000e+00,1.617636729217223346e-01,1.410419824520354748e-01,5.095747227150539127e-03
2.479166666666666519e+00,1.616728190692163780e-01,1.410474581871929700e-01,5.145106960265073172e-03
2.489583333333333037e+00,1.619499580194743438e-01,1.404975434094385134e-01,4.799939090868768701e-03
2.500000000000000000e+00,1.627265609362954502e-01,1.403113421477425182e-01,4.873461114111655827e-03
2.510416666666666519e+00,1.625239674724981709e-01,1.403097031544443818e-01,4.749261552290157465e-03
2.520833333333333037e+00,1.624090918539414508e-01,1.402070186856336775e-01,5.005554393100936951e-03
2.531250000000000000e+00,1.632774813254623258e-01,1.401212154679509214e-01,4.914603880295280273e-03
2.541666666666666519e+00,1.637826482885054724e-01,1.396975738343620155e-01,4.751278736551208318e-03
2.552083333333333037e+00,1.650306864316383737e-01,1.395280306982144836e-01,4.871288766586890848e-03
2.562500000000000000e+00,1.652805053413243241e-01,1.393475277038463689e-01,4.580976025740134475e-03
2.572916666666666519e+00,1.657092130186825218e-01,1.391887276230343307e-01,4.693897800556172395e-03
2.583333333333333037e+00,1.663426893171785215e-01,1.390069505305680242e-01,4.773683783350403560e-03
2.593750000000000000e+00,1.675131522376052118e-01,1.389316651231766730e-01,4.874578925012227476e-03
2.604166666666666519e+00,1.676875885589429183e-01,1.390903502258352409e-01,4.933349242719693370e-03
2.614583333333333037e+00,1.683247035015771331e-01,1.386784557637151249e-01,4.932697230010650927e-03
2.625000000000000000e+00,1.685483599826403389e-01,1.385513838794681374e-01,4.947693806538471829e-03
2.635416666666666519e+00,1.687858646026504650e-01,1.384547578751310071e-01,4.927116272223981686e-03
2.645833333333333037e+00,1.690660331072019185e-01,1.381258983211709201e-01,4.934902208990565864e-03
2.656250000000000000e+00,1.696769535557726416e-01,1.380340194316973801e-01,5.279013838728636825e-03
2.666666666666666519e+00,1.692244510296448123e-01,1.380213453283830327e-01,5.166119870518634007e-03
2.677083333333333037e+00,1.695136802127210074e-01,1.380102999342780190e-01,5.132421906806364231e-03
2.687500000000000000e+00,1.705050675963099838e-01,1.378174415917353957e-01,5.242679062429477475e-03
2.697916666666666519e+00,1.709806387088768920e-01,1.376801989274659133e-01,5.171170377731356717e-03
2.708333333333333037e+00,1.716769865990055710e-01,1.376169299752828257e-01,5.155708442569157703e-03
2.718750000000000000e+00,1.726215773745647664e-01,1.376363958753104022e-01,5.196420511572034939e-03
2.729166666666666519e+00,1.730125052206880343e-01,1.374890693606052872e-01,5.245596506702363167e-03
2.739583333333333037e+00,1.740290088915903699e-01,1.372333885539539500e-01,5.079993021799614726e-03
2.750000000000000000e+00,1.746315048980902063e-01,1.368994685397178779e-01,5.249549458616355017e-03
2.760416666666666519e+00,1.745574371322025642e-01,1.364146429328476073e-01,5.004543720929622609e-03
2.770833333333333037e+00,1.756652878697487763e-01,1.359075972829184020e-01,5.015776563387651203e-03
2.781250000000000000e+00,1.760803572989402266e-01,1.358562954273338785e-01,5.092610037295278863e-03
2.791666666666666519e+00,1.760417121478037306e-01,1.356395295562366488e-01,5.273952572645088620e-03
2.802083333333333037e+00,1.769654576984161232e-01,1.353342979854017802e-01,5.296761882479177931e-03
2.812500000000000000e+00,1.775643268310270473e-01,1.350766094576880405e-01,5.400045598512690816e-03
2.822916666666666519e+00,1.774328551763821038e-01,1.349017339967838458e-01,5.623644632565483192e-03
2.833333333333333037e+00,1.779266858771683391e-01,1.344956774484641071e-01,5.246991987135088409e-03
2.843750000000000000e+00,1.785836830620037841e-01,1.342531944645805331e-01,5.267603535080381955e-03
2.854166666666666519e+00,1.788914606414203634e-01,1.339249199364897225e-01,5.333563571563228536e-03
2.864583333333333037e+00,1.796564746080849539e-01,1.342213738430909631e-01,5.411754522674628795e-03
2.875000000000000000e+00,1.804106064167332324e-01,1.341034082009938122e-01,5.375729916464438291e-03
2.885416666666666519e+00,1.809848042019405190e-01,1.338653302240979115e-01,5.232700788563176414e-03
2.895833333333333037e+00,1.813592224492654448e-01,1.337719732476321810e-01,5.109129674027742922e-03
2.906250000000000000e+00,1.818333663944377288e-01,1.332130064725452478e-01,5.017601588168997019e-03
2.916666666666666519e+00,1.821263699030972183e-01,1.327958251067478668e-01,4.846624932722824221e-03
2.927083333333333037e+00,1.820458432619482814e-01,1.327471225869641391e-01,4.790871149262842903e-03
2.937500000000000000e+00,1.819711520376390279e-01,1.323355073361550949e-01,4.735407796618249301e-03
2.947916666666666519e+00,1.817660374873648343e-01,1.323116748728612457e-01,4.667700203541126983e-03
2.958333333333333037e+00,1.818893688145100940e-01,1.320333457043328940e-01,4.578007674376339750e-03
