t_days,B,F,A
7.083333333333332593e-01,9.315859186642981571e-02,1.601146622247430762e-01,5.301773790293231592e-01
7.187500000000000000e-01,9.429165251516706536e-02,1.603325678626984219e-01,5.295074680884007678e-01
7.291666666666666297e-01,9.580176999565200024e-02,1.606904755452691902e-01,5.300029188464079333e-01
7.395833333333332593e-01,9.604960595055307693e-02,1.611445106407762284e-01,5.296714354376305112e-01
7.500000000000000000e-01,9.655272385000741864e-02,1.611623938880699658e-01,5.275378498742779865e-01
7.604166666666666297e-01,9.703850649565161357e-02,1.614249642278924313e-01,5.268507667670038197e-01
7.708333333333332593e-01,9.701434649545276345e-02,1.616418648268903302e-01,5.244450954888313365e-01
7.812500000000000000e-01,9.773029181064110671e-02,1.615472567761804534e-01,5.260264804895502522e-01
7.916666666666666297e-01,9.867924980001069324e-02,1.616170225586614217e-01,5.263117380884599905e-01
8.020833333333332593e-01,9.958217590355276927e-02,1.619371506361064750e-01,5.273641283559866721e-01
8.125000000000000000e-01,1.001720086254103831e-01,1.621613908537967441e-01,5.265788760400055279e-01
8.229166666666666297e-01,1.011457267438781865e-01,1.620219657879024278e-01,5.242128244174649732e-01
8.333333333333332593e-01,1.019522608747590875e-01,1.617908117023860448e-01,5.228988927715202406e-01
8.437500000000000000e-01,1.019780877725868506e-01,1.619536067809463353e-01,5.225746359445011535e-01
8.541666666666666297e-01,1.030327751869915681e-01,1.620089613161388720e-01,5.225992873382172554e-01
8.645833333333332593e-01,1.038744573909851920e-01,1.619952058906605763e-01,5.217188416141798069e-01
8.750000000000000000e-01,1.046156597074397038e-01,1.616872058960067138e-01,5.199233997998993217e-01
8.854166666666666297e-01,1.051910899519959558e-01,1.615417198494993600e-01,5.199443157893346434e-01
8.958333333333332593e-01,1.059943957782935042e-01,1.616071865409628439e-01,5.183618745161149288e-01
9.062500000000000000e-01,1.067506379802398431e-01,1.610969899984347198e-01,5.192968909229329633e-01
9.166666666666666297e-01,1.073639980820382533e-01,1.608346183503238380e-01,5.201602118025770993e-01
9.270833333333332593e-01,1.083164061402081824e-01,1.605113816198989463e-01,5.207165476809170190e-01
9.375000000000000000e-01,1.086988384222538767e-01,1.600357114037130046e-01,5.210696493385003070e-01
9.479166666666666297e-01,1.098723309081000993e-01,1.601489445051316463e-01,5.220151791817605469e-01
9.583333333333332593e-01,1.103678164165937253e-01,1.598332034665940482e-01,5.206931317806928750e-01
9.687500000000000000e-01,1.108250154623774547e-01,1.594967382458434280e-01,5.205988673179753334e-01
9.791666666666666297e-01,1.113203203799775221e-01,1.588346228865911980e-01,5.208593503297954674e-01
9.895833333333332593e-01,1.123467757673601436e-01,1.580810614019829141e-01,5.212079132744479315e-01
1.000000000000000000e+00,1.127368021697351119e-01,1.573567725430234099e-01,5.206768953696436775e-01
1.010416666666666519e+00,1.133034035905090831e-01,1.565306996199575251e-01,5.208102742142880492e-01
1.020833333333333259e+00,1.136762808275522535e-01,1.559507100902036147e-01,5.218317209233144238e-01
1.031250000000000000e+00,1.148833105732807863e-01,1.557645160194413847e-01,5.216874387565645366e-01
1.041666666666666519e+00,1.153637867855392407e-01,1.551583699058306232e-01,5.226835072590994002e-01
1.052083333333333259e+00,1.159026572123475346e-01,1.545888343053773151e-01,5.194791000479700438e-01
1.062500000000000000e+00,1.163631730415588816e-01,1.541286740963881130e-01,5.188458437188887551e-01
1.072916666666666519e+00,1.176851694972812501e-01,1.537312625601338079e-01,5.178741289703521211e-01
1.083333333333333259e+00,1.185552822812185048e-01,1.531198712964886299e-01,5.188963626079742264e-01
1.093750000000000000e+00,1.193803015121239069e-01,1.528578812926725261e-01,5.208173128537915142e-01
1.104166666666666519e+00,1.197966650647914050e-01,1.521265443114375726e-01,5.228926127614137442e-01
1.114583333333333259e+00,1.202516191472227935e-01,1.518476499876703911e-01,5.227287409728007539e-01
1.125000000000000000e+00,1.202931645512129305e-01,1.512796143363930867e-01,5.209375092469852309e-01
1.135416666666666519e+00,1.208947932480591014e-01,1.507314680065992285e-01,5.209715771210174928e-01
1.145833333333333259e+00,1.214531807676843683e-01,1.498753305839937711e-01,5.206641501610672629e-01
1.156250000000000000e+00,1.232057713083586914e-01,1.494919281253544729e-01,5.203590922141247965e-01
1.166666666666666519e+00,1.236960904669853756e-01,1.495759170737641641e-01,5.197970144755745814e-01
1.177083333333333259e+00,1.241307918091040241e-01,1.489843663355978343e-01,5.207550851235358547e-01
1.187500000000000000e+00,1.252735114310653264e-01,1.487062185947668758e-01,5.198403395930211168e-01
1.197916666666666519e+00,1.262754144884655205e-01,1.476037117431567014e-01,5.209030685466217170e-01
1.208333333333333259e+00,1.273074968685393715e-01,1.470760042029467807e-01,5.197924918477236922e-01
1.218750000000000000e+00,1.282276407376437555e-01,1.470219735944577610e-01,5.184739215152257552e-01
1.229166666666666519e+00,1.292861959606106947e-01,1.468423761336881683e-01,5.197441838393832558e-01
1.239583333333333259e+00,1.295344383468804428e-01,1.462274399999044794e-01,5.187430242681302373e-01
1.250000000000000000e+00,1.307252229809683919e-01,1.458935611686670575e-01,5.179867460585150241e-01
1.260416666666666519e+00,1.316300625663513468e-01,1.455594884774908393e-01,5.200824413042431926e-01
1.270833333333333259e+00,1.319529287612059287e-01,1.450452032049552309e-01,5.176131442095402990e-01
1.281250000000000000e+00,1.332472529290795460e-01,1.445959795533653391e-01,5.172120832448100503e-01
1.291666666666666519e+00,1.337951296940202983e-01,1.440475066791848391e-01,5.152571611853329347e-01
1.302083333333333259e+00,1.341663326553899360e-01,1.442928925138063923e-01,5.183763815590338719e-01
1.312500000000000000e+00,1.345800104078793691e-01,1.445836868297251387e-01,5.169469729607799602e-01
1.322916666666666519e+00,1.351253821421646573e-01,1.457966109156994539e-01,5.182087369087139406e-01
1.333333333333333259e+00,1.362754825065616571e-01,1.474310378879708783e-01,5.184656361617248077e-01
1.343750000000000000e+00,1.368922559600767030e-01,1.494077974834449596e-01,5.163167948526129480e-01
1.354166666666666519e+00,1.368914722708234888e-01,1.511197770902018844e-01,5.155394085505818902e-01
1.364583333333333259e+00,1.370658700670605579e-01,1.532073133951768196e-01,5.154951763732873449e-01
1.375000000000000000e+00,1.375890680965357604e-01,1.550635147007433934e-01,5.135594002842704953e-01
1.385416666666666519e+00,1.386696687872663869e-01,1.579906407613066166e-01,5.153659341083939305e-01
1.395833333333333259e+00,1.389031799685945812e-01,1.609254856670099543e-01,5.171175925717318433e-01
1.406250000000000000e+00,1.397390002128274245e-01,1.641861868985646233e-01,5.180726079079297497e-01
1.416666666666666519e+00,1.407970453484039264e-01,1.663629657798911810e-01,5.182876333186628992e-01
1.427083333333333259e+00,1.413296894294698569e-01,1.693697818539668665e-01,5.168281550616101727e-01
1.437500000000000000e+00,1.420265387541859992e-01,1.727536854924718035e-01,5.173417270482587593e-01
1.447916666666666519e+00,1.425632323851069028e-01,1.750231462921220116e-01,5.180165182432023840e-01
1.458333333333333259e+00,1.433208411808241656e-01,1.776982811166661902e-01,5.167202749559982600e-01
1.468750000000000000e+00,1.434929973950067328e-01,1.798946897275371104e-01,5.148974253149166680e-01
1.479166666666666519e+00,1.442011441876977773e-01,1.821779836117829454e-01,5.148945518853689229e-01
1.489583333333333259e+00,1.444984298451257587e-01,1.845653316566484847e-01,5.146368839087182012e-01
1.500000000000000000e+00,1.451213076935357060e-01,1.863293360138878751e-01,5.124794370981867742e-01
1.510416666666666519e+00,1.456133104717242388e-01,1.889080272870743982e-01,5.113562056793901078e-01
1.520833333333333259e+00,1.460228464113959290e-01,1.908614644083804213e-01,5.120633893190252861e-01
1.531250000000000000e+00,1.469511182290791362e-01,1.928506267313072620e-01,5.123751099418356603e-01
1.541666666666666519e+00,1.474890681896073585e-01,1.950173365484006160e-01,5.108439701702804925e-01
1.552083333333333259e+00,1.479166289618737695e-01,1.969698028759655217e-01,5.087340820733339264e-01
1.562500000000000000e+00,1.488313627788150073e-01,1.986752873297898681e-01,5.055892968060631265e-01
1.572916666666666519e+00,1.497582440576154250e-01,2.003591272446361427e-01,5.052094408630843914e-01
1.583333333333333259e+00,1.508258662950060225e-01,2.017017549287224154e-01,5.048049713915875314e-01
1.593750000000000000e+00,1.512201387377704598e-01,2.027351841252460762e-01,5.040054238791269459e-01
1.604166666666666519e+00,1.521999134591610070e-01,2.034873479179900579e-01,5.027769505331537436e-01
1.614583333333333259e+00,1.532411037142844268e-01,2.043114901314520282e-01,5.031228811853514227e-01
1.625000000000000000e+00,1.540426643312982069e-01,2.047125581705589170e-01,5.041449477358321829e-01
1.635416666666666519e+00,1.542273044661927606e-01,2.051436234895453736e-01,5.024085668220147349e-01
1.645833333333333259e+00,1.543663231413049952e-01,2.060707551051534359e-01,5.032989567265465647e-01
1.656250000000000000e+00,1.555079174754271376e-01,2.063718021680084336e-01,4.990066584794264903e-01
1.666666666666666519e+00,1.562640934933587356e-01,2.067847203113370724e-01,4.969886215443631294e-01
1.677083333333333259e+00,1.570134399151427995e-01,2.075681914700357455e-01,4.925983184352401567e-01
1.687500000000000000e+00,1.573810283291071643e-01,2.077925665980895065e-01,4.913854581995539261e-01
1.697916666666666519e+00,1.581971422528958005e-01,2.082784375230568585e-01,4.900370611622961725e-01
1.708333333333333259e+00,1.585660670394505589e-01,2.089135327040773094e-01,4.899795941223180629e-01
1.718750000000000000e+00,1.590486551405965732e-01,2.090269291735493140e-01,4.895128275362580217e-01
1.729166666666666519e+00,1.596554350196946193e-01,2.096305781909191535e-01,4.892727527045155900e-01
1.739583333333333259e+00,1.596608460824937847e-01,2.104741485567250547e-01,4.901412907597293422e-01
1.750000000000000000e+00,1.602070041124801780e-01,2.107354866553571293e-01,4.870866271498595634e-01
1.760416666666666519e+00,1.610729701199757335e-01,2.106350267632578210e-01,4.875231915857102249e-01
