t_days,B,F,A
9.500000000000000000e+01,6.756199735784860216e-01,2.627032963462936355e-01,1.160851442842119816e-03
9.600000000000000000e+01,6.642423175302589744e-01,2.431583459587627893e-01,1.445997263706162239e-03
9.700000000000000000e+01,6.644815924112489336e-01,2.520355515277261649e-01,1.079918558105715529e-03
9.800000000000000000e+01,6.632382578703764908e-01,2.226575129047084767e-01,8.462985842838758330e-04
9.900000000000000000e+01,6.680951593633895902e-01,2.267788111253505878e-01,1.426724405654841623e-03
1.000000000000000000e+02,6.681730093597985087e-01,2.438586006143429463e-01,1.954809259888791971e-03
1.010000000000000000e+02,6.560115026361302837e-01,2.588002582582030198e-01,1.772933636167885706e-03
1.020000000000000000e+02,6.439389542528023425e-01,2.585805339836381167e-01,2.667105935236380437e-03
1.030000000000000000e+02,6.474100892043113120e-01,2.546745711835328163e-01,2.856766847145168851e-03
1.040000000000000000e+02,6.538909930983928254e-01,2.254057705490883634e-01,3.517155620684007337e-03
1.050000000000000000e+02,6.234623661090891167e-01,1.534958095889487339e-01,3.576872796047193912e-03
1.060000000000000000e+02,5.895114438645451260e-01,1.103456622024699130e-01,2.591456554793831763e-03
1.070000000000000000e+02,5.586730349919958316e-01,8.679394638810454532e-02,4.209952497380575406e-03
1.080000000000000000e+02,5.260476479418348950e-01,6.877743427986711400e-02,4.688905533495442424e-03
1.090000000000000000e+02,4.998285113250800493e-01,5.385280187077054470e-02,4.831822639716155422e-03
1.100000000000000000e+02,4.812997951543440123e-01,4.409218396413894930e-02,5.431404306529933300e-03
1.110000000000000000e+02,4.611076602094991150e-01,3.990117626409796919e-02,3.402642027782080015e-03
1.120000000000000000e+02,4.305145626277513959e-01,4.127905618784646208e-02,2.226005505230422687e-03
1.130000000000000000e+02,4.016779821429531383e-01,4.065004100573815088e-02,1.448101987668144134e-03
1.140000000000000000e+02,3.872503198863048168e-01,3.920975529526817688e-02,2.735588568467822897e-03
1.150000000000000000e+02,3.743916992696877388e-01,3.597237872842038581e-02,1.162470957657208825e-03
1.160000000000000000e+02,3.627156284300143141e-01,3.344380733902650032e-02,1.339643572163151013e-03
1.170000000000000000e+02,3.502951869964737730e-01,3.234710097595565326e-02,1.018451527956815497e-03
1.180000000000000000e+02,3.406383977239040295e-01,3.004746145025109783e-02,1.107973321311434218e-03
1.190000000000000000e+02,3.278444383552875929e-01,2.854643600727920644e-02,1.707941181286399017e-03
1.200000000000000000e+02,3.134742095238500226e-01,3.230706889222164507e-02,1.326756042478873833e-03
1.210000000000000000e+02,3.062335854406564306e-01,3.473879110024142430e-02,1.527457238354064210e-03
1.220000000000000000e+02,2.989333332899946627e-01,3.678489170459166291e-02,3.960671106718842557e-04
1.230000000000000000e+02,2.842454539201018093e-01,3.940027350013697999e-02,2.258085590148296558e-04
1.240000000000000000e+02,2.826142008102515701e-01,3.849908794114014626e-02,6.133013255739495429e-04
1.250000000000000000e+02,2.781036040785870855e-01,3.872457380449008391e-02,2.736253682992558899e-04
1.260000000000000000e+02,2.734051848690061126e-01,3.365348192011292233e-02,2.551175360769849238e-05
1.270000000000000000e+02,2.652843806133074467e-01,3.321952839921865630e-02,4.819829065426758279e-05
1.280000000000000000e+02,2.567241719278905432e-01,3.881759978230858027e-02,1.962095239931197052e-04
1.290000000000000000e+02,2.456501177215318632e-01,3.331172081351958109e-02,2.030473245336346147e-05
