t_days,B,F,A
0.000000000000000000e+00,9.085577388147603184e-02,1.733233453133615209e-01,9.211957371131316435e-03
1.000000000000000000e+00,1.442455128984034551e-01,2.393084128991305737e-01,9.056134623244945642e-03
2.000000000000000000e+00,1.860174341820210187e-01,2.838751309829036229e-01,8.703296031793325907e-03
3.000000000000000000e+00,2.320073193910189846e-01,3.282746533218426355e-01,6.458031109000833894e-03
4.000000000000000000e+00,2.720298710824987642e-01,3.652455380758492520e-01,4.900315233157762768e-03
5.000000000000000000e+00,3.090070564558664024e-01,3.670761070871859100e-01,4.341428894917769704e-03
6.000000000000000000e+00,3.459305266911260612e-01,3.647881285024373033e-01,3.095881546261102304e-03
7.000000000000000000e+00,3.792712205395989411e-01,3.649456195799213321e-01,2.770649503903947677e-03
8.000000000000000000e+00,4.046483564004247913e-01,3.584238573315556842e-01,2.117908236219628003e-03
9.000000000000000000e+00,4.391130349641887420e-01,3.534041680253349749e-01,9.886180941934975385e-04
1.000000000000000000e+01,4.716332954588460247e-01,3.432226318783209162e-01,9.524809078635722032e-04
1.100000000000000000e+01,4.954015854038474886e-01,3.375834264279851116e-01,1.525473856046349105e-03
1.200000000000000000e+01,5.244095001490384211e-01,3.299970123880225370e-01,1.477748134360022322e-03
1.300000000000000000e+01,5.470252413436150762e-01,3.145266028208123510e-01,2.354809263462015034e-03
1.400000000000000000e+01,5.583453807898572929e-01,2.974013449916933505e-01,2.447654255788266498e-03
1.500000000000000000e+01,5.796489843676884135e-01,3.009646565181566813e-01,4.816758121290346667e-03
1.600000000000000000e+01,5.903298970444897931e-01,2.844584345071923259e-01,5.461386805525726348e-03
1.700000000000000000e+01,6.005840673568028087e-01,2.875289132659760161e-01,5.875559654818496118e-03
1.800000000000000000e+01,6.156650112020441989e-01,2.881956249009842153e-01,5.690878772617165467e-03
1.900000000000000000e+01,6.260198609569179728e-01,2.844379177923332391e-01,2.496398324992595702e-03
2.000000000000000000e+01,6.379282658464578981e-01,2.803115631459672241e-01,1.298077655757343737e-03
2.100000000000000000e+01,6.332208928881185583e-01,2.118782825190257957e-01,8.375442785382380094e-04
2.200000000000000000e+01,6.178735474670667971e-01,1.667670294958912003e-01,6.193070228259925456e-04
2.300000000000000000e+01,6.006614151982119232e-01,1.359795352920097622e-01,2.881965037611328552e-04
2.400000000000000000e+01,5.847850941533520031e-01,1.154083604139032465e-01,3.178061873581606558e-05
2.500000000000000000e+01,5.769441845753743303e-01,1.044821622218461282e-01,1.786371891138534469e-04
2.600000000000000000e+01,5.703887451433898859e-01,1.009129362021115028e-01,2.962012551689608228e-05
