t_days,B,F,A
0.000000000000000000e+00,9.608876682622485843e-02,1.957310283828502528e-01,7.629722291303939544e-03
1.000000000000000000e+00,1.364442499184743696e-01,2.843254012738690717e-01,8.327457776279178006e-03
2.000000000000000000e+00,1.715115028625164295e-01,3.360170753991736925e-01,7.761050450680867865e-03
3.000000000000000000e+00,2.052953851576440336e-01,3.869212815849896736e-01,6.169695098695065355e-03
4.000000000000000000e+00,2.371846157908560349e-01,4.134385330399414360e-01,7.338466771541550353e-03
5.000000000000000000e+00,2.620770590706171799e-01,4.231816780123792698e-01,1.229718910221175299e-02
6.000000000000000000e+00,2.904729101238343603e-01,4.428473903147929214e-01,9.663826243455764589e-03
7.000000000000000000e+00,3.138665768418870683e-01,4.291411431304952284e-01,9.894490847650604798e-03
8.000000000000000000e+00,3.319270342319347034e-01,4.353837552650425824e-01,9.941534014073005049e-03
9.000000000000000000e+00,3.625424910109928400e-01,4.340991951260890769e-01,9.222790525053653141e-03
1.000000000000000000e+01,3.836483811912142494e-01,4.428097806671799641e-01,9.456077459909364297e-03
1.100000000000000000e+01,3.936846042581750860e-01,4.509769041287606250e-01,6.649391529247293715e-03
1.200000000000000000e+01,4.055964336743774212e-01,4.385533818184480515e-01,5.928928617994624201e-03
1.300000000000000000e+01,4.217352076543189332e-01,4.384238483042626200e-01,6.210362043337618737e-03
1.400000000000000000e+01,4.376618583760205072e-01,4.353852666268867577e-01,6.541515982244553405e-03
1.500000000000000000e+01,4.452800515757510125e-01,4.242530337770233917e-01,5.125847968169858736e-03
1.600000000000000000e+01,4.450048451175493969e-01,4.066055982737810104e-01,5.336752034758276281e-03
1.700000000000000000e+01,4.658751854020976024e-01,4.062265709551470261e-01,6.366124013627036914e-03
1.800000000000000000e+01,4.815691586606890007e-01,3.858510976852659313e-01,5.855502958225298864e-03
1.900000000000000000e+01,4.927325188169181525e-01,3.905491338442524940e-01,3.820085680014695135e-03
2.000000000000000000e+01,4.987997942990639588e-01,3.899865491912438142e-01,4.916433016473732535e-03
2.100000000000000000e+01,4.891256514284497703e-01,2.864592502484543668e-01,4.779819280587195227e-03
2.200000000000000000e+01,4.832912339816987091e-01,2.281817200956274827e-01,4.636354102716242279e-03
2.300000000000000000e+01,4.859031985472394011e-01,1.782248741469487086e-01,5.161972404046036994e-03
2.400000000000000000e+01,4.785728848958785142e-01,1.447312935998638084e-01,5.138697137295833786e-03
2.500000000000000000e+01,4.691625443005422169e-01,1.225647365607146072e-01,4.528438673001882603e-03
2.600000000000000000e+01,4.693791840382954272e-01,1.053940973588521901e-01,4.724563890342764125e-03
2.700000000000000000e+01,4.641241695863744798e-01,8.881240047045463326e-02,1.927088873640254735e-03
2.800000000000000000e+01,4.952659594486641947e-01,1.432338606303854567e-01,2.046345183658883002e-03
2.900000000000000000e+01,5.179546448773797440e-01,1.748969467030064562e-01,3.856734819052408045e-03
3.000000000000000000e+01,5.412946073451262441e-01,1.919410046422127814e-01,1.902185382094968326e-03
3.100000000000000000e+01,5.485203600389811918e-01,1.963298825011415838e-01,5.607800242249768230e-04
3.200000000000000000e+01,5.684480001766791801e-01,1.982501413381604349e-01,1.558775836465547092e-03
3.300000000000000000e+01,5.918604867209604770e-01,2.061828700404054471e-01,1.212146983871226994e-03
3.400000000000000000e+01,6.080173582281346301e-01,2.060050768916329988e-01,9.102970169790333211e-04
3.500000000000000000e+01,6.335738297597035551e-01,2.024190992059879401e-01,1.409536049320707970e-03
3.600000000000000000e+01,6.490326405266718668e-01,1.971899405810369210e-01,1.301304797855529997e-03
3.700000000000000000e+01,6.603554757220350124e-01,2.012542571880893694e-01,6.318659451743021153e-04
3.800000000000000000e+01,6.746229672642426456e-01,1.855135369978551385e-01,1.455079208936025455e-04
3.900000000000000000e+01,6.779050979464465998e-01,1.881105036386213902e-01,6.830802151520053416e-04
