t_days,B,F,A
0.000000000000000000e+00,8.123376937369737594e-02,1.878425241357692954e-01,7.620618381126909556e-03
1.000000000000000000e+00,1.208214307257643311e-01,2.626037119138486253e-01,8.315723383938850022e-03
2.000000000000000000e+00,1.641036313515343292e-01,2.835292632487859676e-01,7.814802947897764654e-03
3.000000000000000000e+00,1.982296696576688333e-01,3.164591686578677177e-01,6.346602676144986153e-03
4.000000000000000000e+00,2.299495872515447681e-01,3.102430812545982075e-01,7.728850759306746601e-03
5.000000000000000000e+00,2.543481448749131402e-01,3.152164967644947580e-01,1.317577161668314310e-02
6.000000000000000000e+00,2.815423918770419420e-01,3.264856275893461834e-01,1.086930779070620703e-02
7.000000000000000000e+00,3.004360776334114025e-01,3.255267192141712007e-01,1.147089060377817077e-02
8.000000000000000000e+00,3.160250188882001710e-01,3.526537404343197402e-01,1.182700337320697834e-02
9.000000000000000000e+00,3.573259750555499714e-01,3.413070439970647407e-01,1.129981336183001443e-02
1.000000000000000000e+01,3.695101754185927123e-01,3.494526391973852286e-01,1.186435288124160388e-02
1.100000000000000000e+01,3.954713952316646353e-01,3.165207215559853182e-01,9.014516761679346527e-03
1.200000000000000000e+01,4.112808830517566405e-01,3.130500265381140346e-01,8.493838088161063601e-03
1.300000000000000000e+01,4.367382949762493305e-01,3.071673742942039875e-01,9.170313443464491940e-03
1.400000000000000000e+01,4.424181650247477893e-01,3.247161643966707256e-01,9.939146106527933441e-03
1.500000000000000000e+01,4.515632389991842688e-01,2.807930119334273167e-01,8.489775723237143537e-03
1.600000000000000000e+01,4.418269256635390940e-01,2.649848832047213554e-01,9.101941063387748720e-03
1.700000000000000000e+01,4.631938091275217273e-01,2.531995075755337221e-01,1.081268695287965209e-02
1.800000000000000000e+01,4.804492178227363075e-01,2.801414242628195717e-01,1.052189522983581690e-02
1.900000000000000000e+01,4.909179552812993896e-01,2.602523740002241071e-01,8.001544290539088639e-03
2.000000000000000000e+01,4.938883808234758588e-01,2.489949915693577265e-01,9.849124861774832818e-03
2.100000000000000000e+01,4.934966044225496673e-01,2.542247282360800553e-01,9.885425456747292533e-03
2.200000000000000000e+01,4.977584611701888484e-01,2.377958587966390036e-01,9.742437997004950445e-03
2.300000000000000000e+01,5.179772158717295127e-01,2.533477971402109397e-01,1.050161871517298930e-02
2.400000000000000000e+01,5.190484441467043686e-01,2.568974000421407333e-01,1.044269502627847949e-02
2.500000000000000000e+01,5.287130014898063779e-01,2.440479521726836576e-01,9.508292758509576115e-03
2.600000000000000000e+01,5.448019926900433685e-01,2.705418972553711998e-01,9.741574409665216053e-03
2.700000000000000000e+01,5.517508575787700709e-01,2.471460732113563430e-01,5.530297788008308769e-03
2.800000000000000000e+01,5.702388383852007303e-01,2.146403113039997701e-01,5.868525144125348245e-03
2.900000000000000000e+01,5.712558306765727067e-01,2.232150386063667391e-01,8.918296819665369468e-03
3.000000000000000000e+01,5.491883930331755703e-01,1.576099251448322969e-01,6.012627908257009955e-03
3.100000000000000000e+01,5.182802535672396127e-01,1.175347471603200578e-01,3.590456528554331062e-03
3.200000000000000000e+01,4.898319673137226382e-01,9.081347645846499228e-02,5.823762576146136564e-03
3.300000000000000000e+01,4.607590980906290379e-01,7.108687442271874324e-02,5.322972704985636308e-03
3.400000000000000000e+01,4.360201050727782190e-01,6.206178629966869337e-02,4.796822555676477987e-03
3.500000000000000000e+01,4.166325741707591068e-01,5.000389731916141806e-02,5.847686424111093843e-03
3.600000000000000000e+01,3.876724266902883964e-01,4.388297027330322064e-02,5.603762646354439568e-03
3.700000000000000000e+01,3.732813314389476500e-01,4.054522595367487242e-02,4.132803250356744014e-03
3.800000000000000000e+01,3.582765445021183215e-01,3.235467690948864300e-02,2.872453600509283864e-03
3.900000000000000000e+01,3.360547524031239908e-01,3.637295182197187310e-02,4.430934048931267979e-03
4.000000000000000000e+01,3.290441173224861737e-01,3.899522498082177296e-02,4.920978852848063335e-03
